Source,Target,Type,Id,Label,timeset,Weight
28,28,Undirected,306,,,1
6,29,Undirected,309,,,1
6,137,Undirected,310,,,1
29,16,Undirected,311,,,1
29,29,Undirected,312,,,1
16,30,Undirected,313,,,2
16,31,Undirected,314,,,1
30,51,Undirected,315,,,1
30,52,Undirected,316,,,3
30,67,Undirected,317,,,4
30,72,Undirected,318,,,2
30,75,Undirected,319,,,1
30,83,Undirected,320,,,2
30,93,Undirected,321,,,2
30,95,Undirected,322,,,2
30,167,Undirected,323,,,2
30,30,Undirected,325,,,1
9,13,Undirected,328,,,1
13,14,Undirected,330,,,1
13,30,Undirected,331,,,1
14,15,Undirected,332,,,1
15,21,Undirected,334,,,2
15,30,Undirected,335,,,1
21,24,Undirected,336,,,1
21,30,Undirected,337,,,1
31,54,Undirected,340,,,1
31,67,Undirected,341,,,4
31,72,Undirected,342,,,2
31,93,Undirected,343,,,2
31,95,Undirected,344,,,2
31,167,Undirected,345,,,2
31,31,Undirected,347,,,1
24,30,Undirected,350,,,2
30,32,Undirected,352,,,1
30,60,Undirected,353,,,1
32,90,Undirected,354,,,2
32,94,Undirected,355,,,2
32,395,Undirected,356,,,2
32,32,Undirected,358,,,1
33,60,Undirected,365,,,2
33,61,Undirected,366,,,2
33,65,Undirected,367,,,2
33,90,Undirected,368,,,2
33,94,Undirected,369,,,2
33,33,Undirected,371,,,1
34,61,Undirected,378,,,1
34,65,Undirected,379,,,2
34,153,Undirected,380,,,2
34,34,Undirected,382,,,1
6,35,Undirected,387,,,1
6,67,Undirected,388,,,3
35,72,Undirected,389,,,2
35,95,Undirected,390,,,1
35,167,Undirected,391,,,2
35,35,Undirected,393,,,1
24,36,Undirected,398,,,1
24,60,Undirected,399,,,1
36,36,Undirected,401,,,1
37,60,Undirected,404,,,2
37,65,Undirected,405,,,2
37,37,Undirected,407,,,1
38,65,Undirected,412,,,2
38,38,Undirected,414,,,1
37,40,Undirected,421,,,1
37,67,Undirected,422,,,1
40,40,Undirected,424,,,1
42,85,Undirected,427,,,1
42,42,Undirected,429,,,1
14,43,Undirected,435,,,1
6,9,Undirected,438,,,1
9,46,Undirected,441,,,1
26,51,Undirected,449,,,1
52,72,Undirected,458,,,2
52,247,Undirected,459,,,1
52,52,Undirected,461,,,1
9,24,Undirected,464,,,1
30,31,Undirected,468,,,6
31,53,Undirected,470,,,1
53,53,Undirected,473,,,1
14,21,Undirected,480,,,2
21,67,Undirected,483,,,1
54,54,Undirected,485,,,1
21,25,Undirected,494,,,1
25,26,Undirected,496,,,2
25,54,Undirected,497,,,1
26,31,Undirected,498,,,1
31,55,Undirected,500,,,1
31,60,Undirected,501,,,1
55,64,Undirected,502,,,1
55,65,Undirected,503,,,2
55,67,Undirected,504,,,2
55,72,Undirected,505,,,1
55,82,Undirected,506,,,5
55,92,Undirected,507,,,2
55,124,Undirected,508,,,4
55,137,Undirected,509,,,4
55,144,Undirected,510,,,2
55,145,Undirected,511,,,2
55,153,Undirected,512,,,2
55,167,Undirected,513,,,2
55,272,Undirected,514,,,2
55,392,Undirected,515,,,2
55,55,Undirected,517,,,1
